uid,class,orig_bytes,invel_pps,invel_bpp
N000065,qc,356.476,12.598,107.339
N000066,nss,-15.728,-69.389,-75.882
N000067,normal,-223.083,27.226,3.086
N000068,nss,-40.007,11.249,-122.701
N000069,nss,-294.447,-28.784,-22.908
N000070,normal,33.285,-2.196,176.6
N000071,nss,76.535,14.218,-196.163
N000072,nss,143.267,4.0,-245.146
N000073,normal,-57.882,-42.745,-103.744
N000074,normal,169.472,28.394,158.811
N000075,normal,216.12,16.026,-142.808
N000076,zt,935.09,-56.082,362.003
N000077,normal,-12.739,48.987,132.978
N000078,normal,-68.478,1.561,-64.354
N000079,normal,-181.474,22.215,-192.207
N000080,nss,-359.542,-78.192,-167.401
N000081,nss,-287.738,-73.571,94.033
N000082,qc,771.696,-9.522,6.226
N000083,normal,278.997,-22.955,-148.178
N000084,normal,411.414,31.898,-96.556
N000085,normal,419.172,7.059,80.167
N000086,normal,-442.473,18.821,-29.873
N000087,normal,438.35,13.444,120.651
N000088,normal,356.229,-43.338,145.11
N000089,normal,-160.848,5.306,170.668
N000090,normal,-370.775,2.692,-104.626
N000091,normal,-338.551,-44.962,-119.293
N000092,normal,-194.995,25.95,-84.016
N000093,normal,-322.1,-15.3,-192.735
N000094,normal,-484.654,23.308,20.42
N000095,normal,-25.239,43.464,-157.487
N000096,qc,232.178,29.5,233.846
N000097,normal,6.686,18.774,192.976
N000098,normal,332.287,20.673,54.391
N000099,normal,-152.448,-44.561,-148.073
N000100,normal,240.889,-24.441,-134.701
N000101,normal,341.269,37.054,68.217
N000102,normal,-257.787,-20.694,-16.219
N000103,normal,-54.175,-23.676,184.715
N000104,zt,94.147,-51.111,372.533
N000105,normal,-143.416,-49.893,-47.349
N000106,normal,2.764,-29.902,1.894
N000107,normal,-235.831,-41.025,-40.196
N000108,normal,-477.506,-19.576,-106.876
N000109,nss,-270.81,-4.946,-36.983
N000110,qc,679.091,18.952,30.454
N000111,zt,-701.074,44.831,114.576
N000112,normal,335.29,39.194,50.933
N000113,qc,612.219,-6.069,109.503
N000114,normal,334.938,30.468,130.564
N000115,nss,92.83,-11.71,-22.67
N000116,normal,-468.839,-36.691,-55.717
N000117,normal,335.821,5.853,51.107
N000118,nss,-119.336,-31.071,-298.674
N000119,qc,548.265,30.297,114.08
N000120,nss,-733.95,-6.321,-199.123
N000121,normal,-234.442,22.934,-117.913
N000122,qc,775.735,29.395,53.024
N000123,normal,183.697,26.697,46.79
N000124,nss,-722.528,-65.257,-198.424
N000125,qc,104.417,36.776,-95.012
N000126,normal,-231.227,17.2,76.874
N000127,nss,-509.144,-28.346,-114.135
N000128,normal,-381.497,39.366,-120.3
N000129,zt,872.509,-96.499,-32.823
N000130,qc,768.108,24.945,7.463
N000131,normal,445.587,-28.929,32.589
N000132,normal,24.066,45.274,-146.958
N000133,qc,308.744,68.686,181.335
N000134,normal,397.706,-1.386,-190.066
N000135,normal,-8.304,-4.924,-79.22
N000136,normal,-156.04,-18.392,136.092
N000137,normal,250.734,33.911,-151.983
N000138,zt,426.047,80.313,-168.134
N000139,normal,-107.101,49.879,35.671
N000140,normal,-71.947,-22.484,-180.693
N000141,normal,334.676,-21.438,174.236
N000142,normal,-234.272,1.096,-124.06
N000143,normal,456.165,38.427,124.785
N000144,nss,113.424,14.07,-80.309
N000145,qc,-150.524,53.235,80.344
N000146,qc,444.491,8.621,-80.409
N000147,zt,-745.377,-5.563,-125.07
N000148,normal,239.033,47.63,-95.932
N000149,nss,-499.164,-24.268,-142.253
N000150,normal,-338.343,-29.213,162.384
N000151,normal,-279.975,40.626,198.59
N000152,normal,-360.404,-30.759,-163.714
N000153,normal,-408.906,-26.087,-96.657
N000154,nss,87.251,-5.034,-134.887
N000155,normal,24.168,-12.313,-64.719
N000156,normal,-222.484,46.769,-149.65
N000157,normal,129.627,36.286,-113.615
N000158,normal,-251.546,-10.024,-21.657
N000159,zt,697.367,74.578,-382.552
N000160,normal,209.512,39.57,-10.693
N000161,nss,-799.821,-40.848,70.731
N000162,qc,655.463,77.224,-0.614
N000163,normal,-345.622,2.237,72.83
N000164,zt,443.471,29.47,211.84
N000165,normal,51.501,-46.045,112.919
N000166,normal,419.92,14.551,-78.487
N000167,normal,-248.206,13.629,79.433
N000168,normal,-429.648,2.444,33.156
N000169,normal,-276.417,10.106,-195.815
N000170,normal,-39.309,45.894,57.83
N000171,zt,-49.392,-53.046,-202.353
N000172,zt,409.307,-38.52,-382.57
N000173,normal,174.463,-7.998,-97.098
N000174,nss,125.161,-57.321,-286.361
N000175,normal,-79.443,18.257,-120.768
N000176,qc,539.129,30.488,-17.913
N000177,zt,-376.569,64.001,-215.353
N000178,normal,260.471,-20.507,180.771
N000179,normal,-312.687,-27.668,-33.188
N000180,nss,148.761,-65.362,-142.616
N000181,normal,474.12,-35.809,-179.264
N000182,normal,-106.678,39.817,153.433
N000183,qc,797.53,73.16,31.697
N000184,normal,435.882,24.631,-187.243
N000185,nss,-421.381,-42.612,-167.321
N000186,normal,-497.129,-22.019,-59.413
N000187,zt,-752.583,92.854,-234.078
N000188,normal,321.574,32.201,-27.02
N000189,normal,-26.536,-12.729,167.803
N000190,normal,-135.751,39.699,-187.887
N000191,normal,311.825,26.667,-183.74
N000192,normal,-437.42,42.008,-97.194
N000193,qc,698.552,13.907,8.926
N000194,zt,233.957,-47.566,173.309
N000195,normal,-224.37,-49.623,102.261
N000196,zt,267.96,88.65,-380.595
N000197,normal,-24.811,45.678,181.564
N000198,normal,-248.953,-7.006,-2.61
N000199,zt,-634.122,60.514,190.79
N000200,qc,572.809,40.725,31.12
N000201,normal,-138.142,28.225,-168.394
N000202,normal,252.886,-25.269,-174.107
N000203,normal,52.595,-17.424,192.102
N000204,zt,975.648,-47.022,-332.734
N000205,normal,-1.525,20.977,-21.215
N000206,normal,-83.159,12.031,69.643
N000207,qc,646.987,46.443,-51.534
N000208,qc,93.782,36.688,49.188
N000209,qc,-0.81,4.743,-1.864
N000210,normal,384.168,7.828,-69.465
N000211,normal,492.449,0.732,-107.448
N000212,qc,453.327,79.096,-59.067
N000213,normal,319.103,34.056,165.75
N000214,normal,-206.323,-38.078,-124.171
N000215,zt,166.388,86.035,-102.21
N000216,zt,-101.772,-48.01,222.221
N000217,zt,-788.44,19.229,95.958
N000218,normal,-131.291,-35.863,-118.409
N000219,normal,99.423,15.164,-118.623
N000220,normal,-172.751,17.832,-125.942
N000221,normal,-296.592,29.528,19.218
N000222,normal,-398.612,-10.47,20.055
N000223,nss,-708.847,-63.631,-21.838
N000224,normal,-216.699,-19.24,181.276
N000225,normal,66.52,-14.282,-33.422
N000226,zt,993.241,-27.244,-242.239
N000227,qc,3.667,-19.412,260.652
N000228,normal,320.369,-9.378,153.135
N000229,normal,-337.455,-48.517,20.619
N000230,nss,109.795,-71.097,-51.122
N000231,normal,4.463,-35.411,-86.682
N000232,normal,425.5,-39.121,-3.796
N000233,qc,766.876,-0.266,-49.34
N000234,zt,951.093,-3.453,-357.3
N000235,zt,-224.21,80.844,96.274
N000236,qc,-39.724,58.583,-11.17
N000237,normal,346.351,32.919,-126.814
N000238,normal,-100.254,1.789,-46.569
N000239,normal,-252.941,22.488,158.918
N000240,normal,62.343,25.746,-184.749
N000241,qc,-82.269,39.952,120.021
N000242,nss,-493.786,-37.993,-66.95
N000243,normal,158.843,-5.321,-24.659
N000244,normal,118.892,-1.05,-105.9
N000245,qc,579.975,25.829,-28.172
N000246,normal,-392.924,-37.154,-27.76
N000247,normal,-58.033,1.016,-183.693
N000248,nss,-717.759,-6.652,11.054
N000249,normal,-445.735,0.392,-48.855
N000250,zt,-727.629,71.414,396.899
N000251,qc,614.989,-0.629,292.691
N000252,normal,456.639,41.604,-133.955
N000253,qc,730.583,-13.448,40.359
N000254,qc,-41.233,69.654,9.997
N000255,qc,-56.428,30.222,267.963
N000256,normal,-237.132,0.601,-72.369
N000257,normal,-317.904,-33.877,174.562
N000258,nss,95.413,-63.126,13.948
N000259,normal,30.721,13.632,-56.088
N000260,zt,110.36,16.009,306.028
N000261,normal,492.955,12.978,-42.297
N000262,qc,64.754,79.05,130.944
N000263,normal,264.639,-5.772,-129.298
N000264,qc,-151.709,61.982,1.461
N000265,nss,184.055,-21.413,-34.521
N000266,normal,-498.209,-46.621,-140.254
N000267,nss,-367.767,-28.732,58.217
N000268,normal,-272.74,15.311,-191.084
N000269,normal,-145.037,-39.364,-57.139
N000270,normal,83.591,8.909,-118.326
N000271,nss,-325.098,-66.525,74.636
N000272,normal,-350.687,-40.42,55.284
N000273,zt,564.312,-19.609,-188.608
N000274,normal,144.947,6.233,-59.867
N000275,nss,-356.246,13.716,-6.591
N000276,normal,403.503,-45.6,12.611
N000277,normal,-262.331,-44.162,111.549
N000278,normal,50.923,44.092,-143.093
N000279,normal,108.083,0.695,56.628
N000280,qc,-25.361,10.938,20.106
N000281,normal,389.352,28.297,86.159
N000282,normal,344.432,24.519,-13.894
N000283,qc,252.487,2.595,-57.887
N000284,normal,-461.182,-16.448,99.862
N000285,nss,45.333,-8.832,-193.605
N000286,nss,-363.947,-1.155,-90.702
N000287,normal,142.003,46.514,-113.202
N000288,zt,-969.545,-47.926,-211.113
N000289,qc,744.698,54.615,30.749
N000290,zt,-342.893,-52.166,326.055
N000291,nss,-107.157,-13.476,91.605
N000292,normal,339.711,19.762,143.009
N000293,normal,224.623,7.034,-76.9
N000294,normal,122.622,-42.22,164.316
N000295,normal,-473.097,-39.332,171.58
N000296,normal,-358.158,-47.127,-183.34
N000297,nss,-166.122,-10.299,-5.286
N000298,normal,90.473,-13.659,127.025
N000299,qc,691.28,-13.405,247.117
N000300,zt,888.652,-78.577,-235.421
N000301,normal,-465.573,34.772,124.808
N000302,nss,25.06,-16.846,-185.054
N000303,normal,-402.138,25.736,-118.003
N000304,normal,-76.235,-47.908,-97.319
N000305,normal,215.762,-13.198,-71.669
N000306,zt,7.475,70.275,94.621
N000307,normal,-87.079,-6.355,109.21
N000308,normal,204.659,3.788,-113.37
N000309,zt,-818.221,63.962,-263.703
N000310,normal,-297.965,26.218,191.146
N000311,normal,-9.177,-0.852,118.709
N000312,normal,-5.418,-15.281,132.734
N000313,normal,443.87,-21.627,-114.114
N000314,nss,-301.684,-69.008,-45.387
N000315,normal,287.914,19.716,114.773
N000316,nss,-444.383,-39.873,-142.16
N000317,zt,-827.654,77.69,-379.861
N000318,normal,-236.805,40.122,0.476
N000319,normal,383.979,-26.642,-15.637
N000320,normal,254.476,25.299,58.52
N000321,normal,-173.34,-34.467,137.242
N000322,nss,-58.013,-63.045,-124.481
N000323,qc,379.17,-7.394,84.807
N000324,zt,-524.119,-61.685,-158.794
N000325,qc,643.662,-4.541,-37.606
N000326,normal,-173.437,2.218,-135.63
N000327,normal,-310.727,47.515,91.493
N000328,normal,462.386,-39.836,-46.307
N000329,zt,589.776,46.659,-52.062
N000330,normal,137.981,-39.313,-117.422
N000331,normal,-466.068,-10.098,116.402
N000332,nss,-299.513,-16.762,-114.688
N000333,normal,103.709,-9.529,96.378
N000334,zt,-139.943,14.796,199.28
N000335,normal,-271.435,22.222,152.031
N000336,qc,500.079,65.244,171.839
N000337,nss,-346.097,-48.699,-48.689
N000338,normal,-80.42,28.238,85.26
N000339,nss,-549.939,-37.642,-117.922
N000340,nss,-390.655,-12.475,72.079
N000341,normal,154.49,27.818,-44.517
N000342,normal,474.62,-46.185,17.344
N000343,normal,281.792,44.059,7.688
N000344,normal,74.56,4.104,86.918
N000345,normal,139.261,32.899,8.675
N000346,normal,447.973,-28.991,73.744
N000347,normal,262.702,-37.761,193.787
N000348,normal,-443.382,-22.564,-40.126
N000349,normal,-81.418,-7.945,79.301
N000350,normal,-234.843,-27.557,96.588
N000351,zt,54.153,-56.217,241.19
N000352,normal,-287.987,-37.07,110.643
N000353,qc,434.298,26.916,124.822
N000354,normal,463.864,-14.687,55.519
N000355,qc,616.179,26.81,17.737
N000356,normal,-374.834,33.374,-58.102
N000357,zt,-465.151,-24.77,-197.161
N000358,normal,-314.11,-49.73,88.716
N000359,normal,-255.033,-19.818,-8.18
N000360,normal,137.301,15.926,-55.027
N000361,zt,708.891,-88.587,262.32
N000362,zt,568.077,-71.92,265.062
N000363,nss,-785.014,-78.852,80.707
N000364,nss,-549.973,-69.849,-242.907
N000365,normal,276.306,-15.356,-138.931
N000366,zt,583.349,-66.417,312.908
N000367,nss,-18.719,-13.154,57.565
N000368,qc,638.803,-0.263,177.117
N000369,normal,241.912,-6.141,153.073
N000370,nss,-535.506,-56.582,-244.265
N000371,normal,-441.546,-3.291,-142.232
N000372,normal,-1.824,3.954,145.151
N000373,normal,340.768,-3.204,25.028
N000374,nss,40.566,-42.504,-132.473
N000375,zt,-849.207,27.408,108.901
N000376,normal,109.675,18.259,172.597
N000377,normal,481.713,1.063,-6.13
N000378,zt,-932.206,43.637,100.222
N000379,normal,361.69,-13.384,-10.187
N000380,normal,270.574,-28.927,-25.924
N000381,normal,54.028,32.672,-82.847
N000382,qc,203.73,30.375,8.679
N000383,normal,474.996,15.456,116.78
N000384,normal,-182.906,-20.078,34.58
N000385,nss,-15.784,-75.995,-10.929
N000386,zt,90.802,-90.06,-159.675
N000387,normal,-310.059,42.143,43.474
N000388,nss,-10.973,10.982,-55.304
N000389,nss,-173.186,-10.36,-61.477
N000390,nss,-587.499,-13.3,-116.848
N000391,qc,-98.638,-1.87,-85.209
N000392,qc,714.083,45.572,47.548
N000393,qc,586.54,36.21,3.201
N000394,normal,-78.215,-18.152,-27.73
N000395,nss,133.859,-74.538,-72.997
N000396,normal,-381.153,31.033,30.129
N000397,zt,-107.057,-97.174,-90.286
N000398,nss,137.719,18.078,-109.821
N000399,normal,-397.957,14.451,-115.089
N000400,normal,-484.47,-49.522,73.504
N000401,normal,466.348,-41.186,147.82
N000402,normal,-482.223,21.935,-103.092
N000403,qc,-12.59,-14.986,209.609
N000404,qc,655.495,52.972,-66.284
N000405,nss,-90.765,-33.942,72.939
N000406,normal,464.315,21.721,-195.44
N000407,normal,150.697,31.734,-168.128
N000408,normal,229.442,-33.4,144.387
N000409,normal,-440.221,-13.243,29.985
N000410,normal,176.879,-35.509,118.944
N000411,normal,144.889,12.971,-32.814
N000412,normal,286.242,44.492,113.85
N000413,nss,-507.612,-73.936,89.58
N000414,qc,627.409,13.204,142.329
N000415,zt,662.577,20.227,-153.122
N000416,normal,388.124,-12.332,73.929
N000417,nss,96.116,0.748,-186.676
N000418,normal,-236.955,-7.75,34.657
N000419,qc,687.435,-15.77,233.292
N000420,qc,667.205,37.191,9.539
N000421,zt,614.066,36.928,330.999
N000422,normal,-414.936,5.367,118.955
N000423,normal,250.184,43.172,-106.387
N000424,nss,-122.338,-33.468,-217.366
N000425,normal,251.134,29.166,-16.113
N000426,normal,306.575,27.217,-106.853
N000427,nss,96.929,8.509,-91.257
N000428,normal,89.329,-31.085,-123.074
N000429,normal,201.064,-13.717,25.772
N000430,normal,17.217,-35.099,-182.162
N000431,zt,-251.919,-78.776,106.194
N000432,qc,-43.845,39.721,37.969
N000433,normal,-479.43,-46.642,196.162
N000434,zt,-27.369,13.437,-190.722
N000435,qc,225.95,74.65,206.9
N000436,qc,763.468,5.4,-84.852
N000437,normal,-319.265,-41.634,-179.601
N000438,nss,70.667,-34.172,78.882
N000439,zt,-871.628,19.614,-82.083
N000440,normal,459.297,-24.281,25.79
N000441,nss,156.42,-13.028,-142.753
N000442,normal,-340.272,46.577,196.686
N000443,normal,-461.368,-24.414,-59.196
N000444,zt,809.145,67.444,-362.366
N000445,qc,509.608,44.669,294.17
N000446,normal,-355.202,25.495,175.752
N000447,nss,-501.207,-20.853,3.159
N000448,normal,-176.082,-24.299,-150.343
N000449,normal,-331.423,-26.154,-142.74
N000450,nss,-787.386,-8.277,-221.958
N000451,normal,427.679,-27.945,173.591
N000452,zt,777.415,-72.047,-42.204
N000453,normal,428.779,34.225,51.348
N000454,normal,-160.221,32.306,-8.985
N000455,nss,-657.232,-57.835,-277.309
N000456,qc,353.374,-5.529,248.289
N000457,normal,-88.218,-34.431,-91.557
N000458,qc,134.509,-3.22,96.403
N000459,normal,403.168,-38.583,191.449
N000460,normal,395.038,16.828,-115.537
N000461,normal,-213.767,-24.221,-119.351
N000462,normal,491.021,49.809,170.032
N000463,normal,-210.571,39.62,-177.007
N000464,qc,93.524,77.863,-93.589
N000465,qc,140.906,-5.986,-99.231
N000466,qc,326.587,-1.418,74.1
N000467,zt,-563.47,14.268,-289.54
N000468,normal,270.446,21.162,-121.315
N000469,normal,-412.579,10.856,-1.808
N000470,normal,-293.968,11.243,83.103
N000471,qc,382.933,0.229,-73.722
N000472,qc,208.123,52.166,-77.851
N000473,qc,135.219,64.191,245.802
N000474,normal,-484.555,41.022,-9.354
N000475,zt,-467.481,-62.79,265.298
N000476,normal,-336.512,-12.883,37.958
N000477,normal,19.823,-5.423,6.25
N000478,normal,214.59,31.654,146.189
N000479,normal,211.186,-11.861,100.526
N000480,normal,372.803,45.405,-2.079
N000481,normal,30.511,3.733,-191.725
N000482,zt,-552.602,-63.521,-317.86
N000483,normal,317.154,-46.993,-161.411
N000484,nss,-604.915,-78.231,-60.241
N000485,nss,-277.089,-9.735,-258.854
N000486,zt,434.196,-90.966,-301.561
N000487,normal,0.756,-22.038,-151.185
N000488,normal,-363.045,9.181,144.436
N000489,normal,72.841,24.658,-134.271
N000490,qc,737.581,18.874,68.194
N000491,qc,325.615,19.563,276.517
N000492,qc,138.549,4.038,34.033
N000493,normal,481.221,30.438,165.108
N000494,qc,647.631,-14.645,106.95
N000495,zt,868.666,-50.143,-62.291
N000496,nss,-435.568,-26.92,-272.294
N000497,normal,4.775,-47.917,-144.237
N000498,zt,553.159,87.387,106.569
N000499,qc,684.373,68.464,-86.251
